data_moran_type,noise_moran,data_moran,rmse,corr,ssim,coverage_rate,mape,nrmse
pos,0.0024656720961570484,0.00616001065541838,0.809618034149264,0.04449349474851814,0.05300603496073276,0.879,27.42610677346509,0.2839747073380521
pos,0.0024656720961570484,0.09349241387207337,0.8188529673105961,0.04834469590381148,0.05359872428089664,0.8793,24.59996510244621,0.2524331908969614
pos,0.0024656720961570484,0.6826718616465217,0.7902408015321387,0.035614380991039266,0.049813625756303485,0.8754,24.16579398780141,0.2235284411542578
pos,0.0024656720961570484,0.7901490161026219,0.8051211204649746,0.027096806361108106,0.04785162606202552,0.8758,19.361046990092063,0.27712899321095025
pos,0.0024656720961570484,0.9463923951737099,0.8119190676897129,0.04752934907492884,0.05556799295792507,0.8764,25.525178504027686,0.30325796573696523
pos,0.0024656720961570484,0.9751159243360307,0.7854833223456841,0.03994064888404345,0.049216208054166405,0.8706,20.767424346916155,0.311467679965916
pos,0.0024656720961570484,0.985281052243873,0.8078248219456957,0.02373809785840547,0.04133082958657195,0.8725,20.055722565917836,0.33069570437714935
pos,0.0024656720961570484,0.9900318460968314,0.805107374552949,0.03849209472511135,0.049640688545413876,0.8805,17.481330485475144,0.25953715784986486
pos,0.0024656720961570484,0.9928030017007318,0.7883256972341611,0.04587999820119081,0.05380604498459519,0.8684,27.201979628425814,0.2515466273600993
pos,0.010416822760047429,0.00616001065541838,0.7869419244008767,0.03063193294247688,0.04446814980214972,0.8732,9.866863763446736,0.2663326073421162
pos,0.010416822760047429,0.09349241387207337,0.7631751779696788,0.03567952933472613,0.04841782613645095,0.8607,8.616633609281585,0.2503541872698172
pos,0.010416822760047429,0.6826718616465217,0.7389861966241575,0.03793869678975963,0.05018939500359739,0.8518,9.03947785859395,0.3074881839186954
pos,0.010416822760047429,0.7901490161026219,0.79270145737633,0.026417439534702096,0.04522573881536338,0.8698,9.877105456583626,0.18129763281833575
pos,0.010416822760047429,0.9463923951737099,0.8007719990044119,0.040596841272191486,0.04474353971454621,0.875,9.208244674723474,0.2000796379757999
pos,0.010416822760047429,0.9751159243360307,0.7872770483035374,0.0363243432816955,0.04870487764800427,0.8739,9.359613790217416,0.26910764063327564
pos,0.010416822760047429,0.985281052243873,0.8002136182474646,0.03180493771148106,0.04588538829012596,0.8695,9.102756572532282,0.20153051198526717
pos,0.010416822760047429,0.9900318460968314,0.7562046972044542,0.04528156324071006,0.049935468791189416,0.8569,9.009255614611751,0.2597464573444629
pos,0.010416822760047429,0.9928030017007318,0.8181237862008107,0.04600985057113214,0.05263868806966434,0.8808,9.88902266255664,0.2504544137789039
pos,0.26801473143435683,0.00616001065541838,0.5278496525847337,0.0735492933856858,0.05547039276772515,0.8799,25.92022068546611,0.22870962457183086
pos,0.26801473143435683,0.09349241387207337,0.4986663433275648,0.03328528316263836,0.050308505780837266,0.8728,27.950919113186757,0.2769228954903716
pos,0.26801473143435683,0.6826718616465217,0.5028634723747608,0.06184206529962074,0.05934575169821624,0.8698,26.531502911519198,0.31716168858976646
pos,0.26801473143435683,0.7901490161026219,0.5160147543121603,0.04677438136410742,0.04851050096073276,0.8672,26.80429318010366,0.2991242081441723
pos,0.26801473143435683,0.9463923951737099,0.5242775595373701,0.03546295919481229,0.04811147055537411,0.8755,29.101196935890666,0.21812868995848775
pos,0.26801473143435683,0.9751159243360307,0.5509333672955042,0.05697688411804544,0.04967821142048083,0.8874,28.004501770342703,0.21497232989318588
pos,0.26801473143435683,0.985281052243873,0.5048277972891881,0.041742136469229925,0.04739939999715588,0.8604,23.36543426823242,0.2527508733514535
pos,0.26801473143435683,0.9900318460968314,0.49991460745713995,0.041296163661601194,0.04108274460403628,0.8576,27.108186198891254,0.3587727429764617
pos,0.26801473143435683,0.9928030017007318,0.5313183457129758,0.051687405935965026,0.04486080941314132,0.8726,27.792735812225672,0.32533158127777734
pos,0.45073020267867514,0.00616001065541838,0.4083872142623687,0.08599550013202253,0.06669336405319867,0.8741,39.90131491972039,0.29618403423497114
pos,0.45073020267867514,0.09349241387207337,0.40549815133805667,0.08016652055347703,0.06196058352213091,0.8824,50.47346587179773,0.3063436758792342
pos,0.45073020267867514,0.6826718616465217,0.396219146718748,0.07694054026991957,0.0657591610722834,0.8672,50.5524172788056,0.2506342823370107
pos,0.45073020267867514,0.7901490161026219,0.42204931241521926,0.08877865826488003,0.06489559724437172,0.887,52.77940658886539,0.3106868412400481
pos,0.45073020267867514,0.9463923951737099,0.40628586608183126,0.06125738289822893,0.06102138005372188,0.8755,64.13999394238428,0.33010178120770156
pos,0.45073020267867514,0.9751159243360307,0.40765930289384605,0.06662884485078556,0.05902282065630627,0.8709,31.560385155802937,0.28847603025467344
pos,0.45073020267867514,0.985281052243873,0.3927722210091346,0.07602823388353484,0.061485870240704434,0.865,52.814457292027335,0.3715852981101183
pos,0.45073020267867514,0.9900318460968314,0.4135282078212259,0.07179667170995216,0.05766574668199409,0.8769,58.60292975381987,0.3027858049392344
pos,0.45073020267867514,0.9928030017007318,0.37739807151263216,0.06389782070815608,0.06549780026445284,0.8575,72.46398740602216,0.3375574741852684
pos,0.5842502550423997,0.00616001065541838,0.335099474580189,0.1284674409442508,0.07807503931449833,0.8849,14.731189039012445,0.3060606706587697
pos,0.5842502550423997,0.09349241387207337,0.33420361819197636,0.08702168854781499,0.0608171734125412,0.8763,15.460530464260836,0.38229985116829096
pos,0.5842502550423997,0.6826718616465217,0.3311744105630739,0.10218318498997822,0.06935544645772068,0.8765,15.571809937421142,0.2994103525673342
pos,0.5842502550423997,0.7901490161026219,0.3381030984753511,0.11164405093408121,0.0720246776350908,0.8865,16.595360026026228,0.17614799945382845
pos,0.5842502550423997,0.9463923951737099,0.35334506010796324,0.11898988572305534,0.07252369945877843,0.8851,16.67053371308345,0.30845781904642255
pos,0.5842502550423997,0.9751159243360307,0.334480776812049,0.08811679786212936,0.06473687924436512,0.8782,15.833680123910352,0.26974445892194193
pos,0.5842502550423997,0.985281052243873,0.3476986578342482,0.11033775502590153,0.0701074645168913,0.8807,18.425382562759022,0.20472069033103513
pos,0.5842502550423997,0.9900318460968314,0.3373407579069383,0.10725205495477964,0.06222973892543844,0.8767,15.455730725170746,0.3230664144755559
pos,0.5842502550423997,0.9928030017007318,0.33635910501269595,0.08761469118533459,0.06581936244487227,0.8923,16.14280672998879,0.29812403889126327
pos,0.6725569400218279,0.00616001065541838,0.2891910498391764,0.15345557883525193,0.08622965527218304,0.8845,11.872793544997325,0.31296936134263104
pos,0.6725569400218279,0.09349241387207337,0.28127685561909965,0.15747271444503466,0.08681723894674276,0.8783,11.697212908812869,0.2681689983530504
pos,0.6725569400218279,0.6826718616465217,0.2791300824609818,0.12583965448439255,0.0833534423572804,0.8766,12.690156348084837,0.2860752396699966
pos,0.6725569400218279,0.7901490161026219,0.2726585329876447,0.1326819517680814,0.07731714899742066,0.8639,10.562673838321945,0.31169146131245573
pos,0.6725569400218279,0.9463923951737099,0.29067669989568984,0.14751293061860585,0.08263371013604834,0.885,12.977285368809541,0.28695672146843504
pos,0.6725569400218279,0.9751159243360307,0.27729628474904416,0.13668521193130245,0.0833402924659233,0.8791,11.503964281781505,0.3532963349531467
pos,0.6725569400218279,0.985281052243873,0.29417264451339814,0.11984133978360059,0.06924930819782497,0.8849,11.631319295586103,0.1883899023548992
pos,0.6725569400218279,0.9900318460968314,0.2938120547730463,0.1463993196020104,0.07837454351530879,0.89,12.35664373446309,0.3078578981049207
pos,0.6725569400218279,0.9928030017007318,0.28187213908460407,0.13912429612769353,0.09075899685166444,0.8779,12.023205343059509,0.3400928717580783
pos,0.7783243991513341,0.00616001065541838,0.21669835669041,0.21897922206900916,0.11097547267842223,0.8787,10.903987214621852,0.2399662288160301
pos,0.7783243991513341,0.09349241387207337,0.22740194102477923,0.22136571217864817,0.10683572248872612,0.8892,11.362575039824822,0.2609270055872401
pos,0.7783243991513341,0.6826718616465217,0.2196609172936591,0.19206629748071,0.11426590340030222,0.8727,10.509720161114371,0.28210719130930967
pos,0.7783243991513341,0.7901490161026219,0.21761165265366805,0.2439634419266523,0.11612030884716913,0.8831,11.361207771522846,0.3110817136299533
pos,0.7783243991513341,0.9463923951737099,0.22198986034964693,0.19787297155508,0.1101447304194119,0.8747,10.25919836686296,0.29874254079809376
pos,0.7783243991513341,0.9751159243360307,0.22395597981567206,0.1604369999878404,0.10020248997805245,0.876,10.457037871027532,0.2541486836071167
pos,0.7783243991513341,0.985281052243873,0.22616082886802363,0.22389969526251913,0.10970641409138385,0.8896,11.338810367648811,0.2205000393628726
pos,0.7783243991513341,0.9900318460968314,0.20842556184588504,0.2009181713268983,0.11837014089487814,0.8692,10.615630888123395,0.2837255290543707
pos,0.7783243991513341,0.9928030017007318,0.22507450035027637,0.21854084935018886,0.12055587198119412,0.883,11.485907305984846,0.3516600407175134
pos,0.9396717790663035,0.00616001065541838,0.0979931955361076,0.48538224510550776,0.1927508823334792,0.895,8.717553064932238,0.250044702065832
pos,0.9396717790663035,0.09349241387207337,0.09757502154263506,0.4811226191357581,0.19923644553671524,0.8911,8.565944070337068,0.2627928409853334
pos,0.9396717790663035,0.6826718616465217,0.09780821265708023,0.4899275050577065,0.2021724044240181,0.8959,8.800587834711529,0.24379098879674352
pos,0.9396717790663035,0.7901490161026219,0.0983279971081985,0.47591854364829994,0.19750209226054014,0.8983,9.075436762006841,0.22605588618243835
pos,0.9396717790663035,0.9463923951737099,0.09927925580220835,0.47746169882316986,0.2157332707250808,0.9017,8.76485251854009,0.2376527076550711
pos,0.9396717790663035,0.9751159243360307,0.09913413158261294,0.4755680572619075,0.21393927600393378,0.9099,9.514215074025598,0.2551493983511717
pos,0.9396717790663035,0.985281052243873,0.09742116486678544,0.4920190872084302,0.20701488082001832,0.8942,8.371352298608322,0.24546637438293878
pos,0.9396717790663035,0.9900318460968314,0.10112248464662155,0.49055479741166214,0.21410627970808596,0.9157,8.75140749397174,0.23072595579370883
pos,0.9396717790663035,0.9928030017007318,0.09713273832752303,0.4679757955161633,0.19105461386165853,0.8823,8.779392542396746,0.25674552457480826
pos,0.9722701355341671,0.00616001065541838,0.057819126340511534,0.6447743292725953,0.29083977346253204,0.924,14.459536958173043,0.20897997783552277
pos,0.9722701355341671,0.09349241387207337,0.056529359780586874,0.6288329925587336,0.2802718227019997,0.909,12.366824371145292,0.24884267560404008
pos,0.9722701355341671,0.6826718616465217,0.059145438380911075,0.638953652195816,0.3010086792944323,0.9291,14.606449170080333,0.2235932190624968
pos,0.9722701355341671,0.7901490161026219,0.056869019803375595,0.6428940078815644,0.31026376129967553,0.9164,16.103730503254557,0.20010673011959754
pos,0.9722701355341671,0.9463923951737099,0.05757385094850106,0.6264345403666328,0.2889527554532694,0.9179,18.607509743500156,0.23685277345658298
pos,0.9722701355341671,0.9751159243360307,0.057831952850333934,0.6506269779068925,0.30093789621320033,0.9255,15.082441680332874,0.24036744104094634
pos,0.9722701355341671,0.985281052243873,0.058727993138997035,0.631862278383959,0.29727659917044974,0.9169,13.826707199701113,0.20022324491193888
pos,0.9722701355341671,0.9900318460968314,0.05857550421575443,0.6104349900611169,0.2847073797285164,0.915,18.082105451792977,0.21721922702617089
pos,0.9722701355341671,0.9928030017007318,0.05841809048452401,0.6418018832027105,0.3044780839851322,0.9311,14.29076877001427,0.25090404746846445
pos,0.9831347424274329,0.00616001065541838,0.03684970172130812,0.744562816981279,0.38714356335485006,0.9337,7.144023252353597,0.18714513836952962
pos,0.9831347424274329,0.09349241387207337,0.03761480400308794,0.7326934636806808,0.37707313700516654,0.937,7.394833769025451,0.1960646768206183
pos,0.9831347424274329,0.6826718616465217,0.03793101612058461,0.7313498345375506,0.3835970943071473,0.9379,7.388932928566172,0.2273908873648825
pos,0.9831347424274329,0.7901490161026219,0.03783059487219665,0.7186215448581937,0.3789451642460305,0.9309,6.946735261356237,0.18508647670625136
pos,0.9831347424274329,0.9463923951737099,0.03777547512471612,0.7250595120949245,0.37700722619283494,0.935,6.9674258560461695,0.1779613992216521
pos,0.9831347424274329,0.9751159243360307,0.03845769626834408,0.7308348393223538,0.37474058972152935,0.9413,7.625921118331051,0.21498163258292902
pos,0.9831347424274329,0.985281052243873,0.03798601181229819,0.7636694675807817,0.41043060238997475,0.9581,7.222741243733234,0.1840262088944662
pos,0.9831347424274329,0.9900318460968314,0.03841096621669165,0.7359846995958502,0.3899354132671046,0.9433,6.87627279763516,0.19402165339660776
pos,0.9831347424274329,0.9928030017007318,0.03711893886762896,0.72203812814037,0.37963905382435675,0.9274,7.633132781920181,0.1879051351340584
pos,0.9886542446545953,0.00616001065541838,0.026831280165043922,0.7896114025004262,0.43828998937123786,0.9435,5.743605133927985,0.18253289499765882
pos,0.9886542446545953,0.09349241387207337,0.026158931749059863,0.8016966382204734,0.45931789179820903,0.9517,5.712611407098711,0.18386008638928333
pos,0.9886542446545953,0.6826718616465217,0.025954012695669486,0.7932270696538349,0.4332809860336117,0.9396,5.952886782994244,0.1545597533766291
pos,0.9886542446545953,0.7901490161026219,0.026637665322315453,0.7958959753873631,0.45233819636326095,0.9543,6.054512049075453,0.17470979468479197
pos,0.9886542446545953,0.9463923951737099,0.025112977122567645,0.8106426197380341,0.47036476547707756,0.9403,5.357676027486023,0.1640545947993438
pos,0.9886542446545953,0.9751159243360307,0.025732680947238972,0.8168567125288545,0.476998791785615,0.9624,5.52704986417241,0.19328931964122723
pos,0.9886542446545953,0.985281052243873,0.026008543935091936,0.7967011657944757,0.46912279144624863,0.95,5.885568993451079,0.16862012882161367
pos,0.9886542446545953,0.9900318460968314,0.026469384032794682,0.8009012714599031,0.4532773205743492,0.9503,5.619333038342304,0.1708853010503514
pos,0.9886542446545953,0.9928030017007318,0.02581951672225253,0.8104991333459178,0.47258521270607035,0.9571,5.76008643987303,0.17763192061169034
pos,0.9918687429664483,0.00616001065541838,0.01887033368000016,0.8505293777785128,0.49557038080571203,0.9483,4.687053213505214,0.16407629006396346
pos,0.9918687429664483,0.09349241387207337,0.018409546312735635,0.8560446532183056,0.5130678060209684,0.9536,4.621210615631817,0.14604224754995557
pos,0.9918687429664483,0.6826718616465217,0.01938911698046733,0.8506140524707294,0.4982488446619383,0.9642,4.7595642223177865,0.1500970539646352
pos,0.9918687429664483,0.7901490161026219,0.018927706987099197,0.8543996312571327,0.4987812721099773,0.9569,4.70480667397456,0.1946311482259295
pos,0.9918687429664483,0.9463923951737099,0.018403565867172577,0.8633933292050319,0.5202648948726583,0.9551,4.618562214970365,0.13972617958231326
pos,0.9918687429664483,0.9751159243360307,0.01837910181687389,0.8666878437401732,0.5320825895303478,0.9627,4.648496173269167,0.130827405362063
pos,0.9918687429664483,0.985281052243873,0.019517250782538187,0.8404222997351003,0.49352536601964214,0.9591,4.847333555659034,0.14105158664115588
pos,0.9918687429664483,0.9900318460968314,0.018727802626056028,0.8519034820928431,0.49900799250351086,0.9455,4.776802928049462,0.13387345020122798
pos,0.9918687429664483,0.9928030017007318,0.01896003052857278,0.8545882150033529,0.5113838051652428,0.9582,4.763559201961334,0.15486800064590014
pos,0.9938785317292541,0.00616001065541838,0.014530725366978612,0.8799750747920325,0.5496899789079656,0.9587,3.874542187402529,0.13931456335509076
pos,0.9938785317292541,0.09349241387207337,0.014604179722843051,0.881933690694237,0.5603521782612367,0.9645,3.9525273532659697,0.13750326092020365
pos,0.9938785317292541,0.6826718616465217,0.013747571891558816,0.890732111389421,0.5734230634381534,0.9548,3.6637610806243828,0.13033188448439068
pos,0.9938785317292541,0.7901490161026219,0.014304613687423718,0.88380223843114,0.5644631938976055,0.9606,3.7802458999242803,0.12968490651528622
pos,0.9938785317292541,0.9463923951737099,0.013546527543269295,0.8953246508415396,0.5728102774266491,0.9584,3.7302073655754424,0.13015315345019612
pos,0.9938785317292541,0.9751159243360307,0.0144112816747558,0.8848118929128904,0.558794753720402,0.9613,4.063525613727202,0.14475401085084627
pos,0.9938785317292541,0.985281052243873,0.014593421894923055,0.8889180640705061,0.5616573997944143,0.9703,3.923217022046224,0.1425475446464475
pos,0.9938785317292541,0.9900318460968314,0.014410600646865739,0.8942671559437099,0.5683469515840225,0.9696,3.8807721376069053,0.13789044122104704
pos,0.9938785317292541,0.9928030017007318,0.014585781050188753,0.8851759930601203,0.5652823525970783,0.9602,3.799821413032307,0.14581588512684016
pos,0.995277811538734,0.00616001065541838,0.01090542541678376,0.9153210984227071,0.639247689184787,0.9644,4.173529983443057,0.13410966030864976
pos,0.995277811538734,0.09349241387207337,0.011054855446799364,0.9215411273170875,0.6417886053506606,0.9815,4.340055901212017,0.1340327102251856
pos,0.995277811538734,0.6826718616465217,0.01081644113911459,0.912166652191479,0.627344862315697,0.9593,4.1626997837197,0.15797597472899336
pos,0.995277811538734,0.7901490161026219,0.01130168205540681,0.9109559345968207,0.6275494960587933,0.9792,4.540186697617227,0.13268282056958197
pos,0.995277811538734,0.9463923951737099,0.011043710311822934,0.9190494715621694,0.6333876933991881,0.9803,4.3042861038820135,0.18826841060917412
pos,0.995277811538734,0.9751159243360307,0.010975288488991774,0.9163840717621512,0.6439331137215211,0.9708,4.253680432098481,0.13404661375297722
pos,0.995277811538734,0.985281052243873,0.010993049824929773,0.9209451035950845,0.6452661910682072,0.9803,4.161015228954927,0.14071858389091
pos,0.995277811538734,0.9900318460968314,0.010876402278767017,0.9096720455821119,0.6265463680300732,0.9519,4.430142302720904,0.17848076177709568
pos,0.995277811538734,0.9928030017007318,0.011190609968131659,0.9066522032392887,0.6351015315973898,0.9717,4.669087085824112,0.13241172495228207
